iter	Passed	Remaining
0	2	198
1	4	199
2	5	180
3	6	158
4	8	154
5	9	149
6	10	145
7	12	140
8	13	136
9	14	132
10	15	128
11	17	127
12	18	126
13	20	124
14	21	122
15	22	119
16	24	117
17	25	115
18	26	113
19	27	111
20	29	109
21	30	108
22	31	106
23	33	104
24	34	102
25	35	101
26	36	99
27	37	97
28	39	96
29	40	94
30	41	92
31	42	91
32	44	89
33	45	88
34	46	86
35	47	85
36	49	83
37	50	82
38	51	80
39	52	79
40	54	77
41	54	75
42	55	73
43	56	72
44	58	71
45	60	70
46	62	70
47	65	70
48	66	69
49	69	69
50	70	68
51	72	67
52	74	66
53	76	65
54	77	63
55	79	62
56	81	61
57	84	60
58	86	59
59	87	58
60	89	57
61	93	57
62	106	62
63	109	61
64	112	60
65	115	59
66	117	58
67	119	56
68	123	55
69	125	53
70	127	51
71	129	50
72	130	48
73	132	46
74	134	44
75	135	42
76	138	41
77	139	39
78	141	37
79	143	35
80	144	33
81	146	32
82	148	30
83	150	28
84	152	26
85	154	25
86	155	23
87	157	21
88	159	19
89	160	17
90	162	16
91	163	14
92	165	12
93	167	10
94	168	8
95	170	7
96	171	5
97	173	3
98	174	1
99	176	0
