iter	Passed	Remaining
0	150	149911
1	151	75527
2	152	50696
3	153	38266
4	155	30872
5	156	25891
6	157	22336
7	158	19675
8	161	17753
9	162	16095
10	163	14718
11	164	13573
12	165	12602
13	167	11777
14	168	11057
15	169	10426
16	170	9867
17	171	9371
18	175	9063
19	176	8661
20	177	8295
21	179	7964
22	180	7660
23	181	7379
24	182	7121
25	183	6883
26	184	6662
27	185	6456
28	187	6283
29	190	6146
30	191	5977
31	192	5819
32	193	5671
33	194	5532
34	196	5404
35	197	5279
36	198	5162
37	199	5050
38	200	4943
39	203	4876
40	205	4795
41	206	4704
42	207	4617
43	208	4532
44	209	4452
45	211	4377
46	212	4303
47	213	4232
48	214	4166
49	217	4130
50	219	4075
51	220	4013
52	221	3954
53	222	3897
54	223	3842
55	224	3789
56	225	3737
57	227	3687
58	228	3639
59	229	3592
60	231	3560
61	233	3530
62	234	3488
63	235	3447
64	236	3407
65	238	3368
66	239	3330
67	240	3293
68	241	3257
69	242	3223
70	243	3189
71	245	3161
72	248	3149
73	249	3117
74	250	3087
75	251	3058
76	252	3028
77	253	2999
78	254	2971
79	256	2944
80	257	2918
81	258	2891
82	258	2860
83	260	2843
84	263	2834
85	264	2815
86	266	2794
87	267	2771
88	268	2748
89	269	2726
90	270	2704
91	271	2683
92	272	2662
93	274	2645
94	277	2639
95	278	2621
96	279	2601
97	280	2582
98	281	2562
99	282	2544
100	283	2526
101	284	2508
102	286	2491
103	287	2474
104	288	2457
105	291	2460
106	292	2444
107	294	2428
108	295	2412
109	296	2396
110	297	2381
111	298	2366
112	299	2351
113	300	2336
114	301	2322
115	302	2308
116	304	2295
117	306	2293
118	307	2279
119	309	2266
120	310	2252
121	310	2237
122	312	2225
123	313	2212
124	314	2200
125	315	2188
126	316	2174
127	317	2162
128	318	2151
129	321	2151
130	322	2139
131	323	2128
132	324	2117
133	325	2106
134	327	2095
135	328	2084
136	329	2073
137	330	2063
138	331	2053
139	332	2043
140	334	2039
141	336	2032
142	337	2022
143	338	2013
144	339	2003
145	340	1993
146	341	1984
147	343	1974
148	344	1965
149	345	1956
150	346	1947
151	347	1938
152	349	1937
153	351	1932
154	352	1923
155	354	1915
156	355	1906
157	356	1898
158	357	1889
159	358	1881
160	359	1871
161	360	1863
162	361	1855
163	362	1848
164	365	1847
165	366	1842
166	367	1835
167	369	1827
168	370	1819
169	371	1812
170	372	1805
171	373	1798
172	374	1790
173	375	1783
174	376	1776
175	381	1784
176	383	1781
177	402	1859
178	405	1859
179	406	1853
180	408	1848
181	410	1847
182	413	1847
183	415	1841
184	416	1835
185	418	1830
186	419	1823
187	420	1817
188	422	1810
189	423	1804
190	424	1797
191	431	1817
192	433	1814
193	435	1810
194	437	1804
195	438	1799
196	439	1792
197	441	1790
198	444	1789
199	447	1788
200	448	1783
201	450	1779
202	451	1772
203	452	1766
204	453	1759
205	454	1753
206	459	1760
207	460	1753
208	461	1747
209	462	1740
210	463	1734
211	465	1728
212	466	1722
213	467	1716
214	468	1710
215	469	1704
216	472	1703
217	474	1700
218	475	1694
219	476	1688
220	477	1682
221	478	1676
222	479	1670
223	480	1665
224	481	1659
225	482	1653
226	484	1648
227	486	1647
228	488	1646
229	490	1640
230	491	1635
231	492	1630
232	493	1624
233	494	1619
234	495	1613
235	496	1608
236	497	1603
237	499	1598
238	502	1598
239	504	1596
240	505	1590
241	506	1585
242	507	1580
243	508	1575
244	509	1570
245	510	1565
246	511	1559
247	512	1554
248	513	1549
249	516	1548
250	518	1547
251	519	1542
252	520	1537
253	521	1532
254	522	1527
255	524	1523
256	525	1518
257	526	1513
258	527	1508
259	528	1504
260	530	1501
261	533	1501
262	534	1497
263	535	1493
264	537	1491
265	538	1487
266	540	1482
267	541	1477
268	542	1473
269	543	1469
270	546	1470
271	547	1466
272	548	1461
273	550	1457
274	551	1453
275	552	1448
276	553	1444
277	554	1440
278	555	1436
279	556	1432
280	558	1427
281	561	1428
282	562	1424
283	563	1421
284	565	1417
285	566	1413
286	567	1409
287	568	1405
288	569	1402
289	571	1398
290	572	1393
291	573	1390
292	576	1391
293	579	1390
294	581	1388
295	582	1385
296	583	1382
297	585	1378
298	586	1374
299	587	1370
300	590	1370
301	592	1369
302	593	1365
303	595	1362
304	596	1358
305	597	1355
306	598	1351
307	600	1349
308	602	1346
309	605	1348
310	609	1350
311	610	1346
312	611	1343
313	613	1339
314	614	1335
315	615	1333
316	617	1330
317	623	1337
318	625	1334
319	626	1331
320	627	1328
321	629	1324
322	630	1321
323	631	1318
324	632	1314
325	639	1322
326	641	1319
327	642	1317
328	644	1314
329	654	1327
330	656	1326
331	657	1323
332	659	1321
333	661	1319
334	670	1331
335	671	1327
336	673	1324
337	674	1320
338	675	1317
339	676	1314
340	680	1314
341	683	1314
342	684	1311
343	686	1308
344	687	1304
345	688	1301
346	689	1297
347	690	1293
348	691	1290
349	695	1290
350	698	1291
351	700	1288
352	701	1285
353	702	1282
354	703	1278
355	705	1276
356	706	1272
357	707	1269
358	712	1272
359	713	1269
360	715	1265
361	716	1262
362	717	1259
363	719	1256
364	720	1252
365	721	1249
366	725	1252
367	728	1251
368	730	1248
369	731	1245
370	732	1241
371	733	1238
372	735	1235
373	736	1232
374	739	1232
375	744	1235
376	745	1232
377	746	1228
378	748	1225
379	749	1222
380	751	1220
381	752	1216
382	759	1223
383	761	1220
384	762	1218
385	763	1214
386	765	1211
387	766	1209
388	781	1227
389	793	1241
390	795	1238
391	797	1236
392	799	1234
393	808	1244
394	810	1241
395	812	1238
396	813	1235
397	815	1232
